ra,dec,mag,ci
5.399119,-7.808065,4.13,0.943
6.482719,20.212133,4.13,-0.115
15.897093,-16.729293,4.13,1.003
20.76826,-25.270898,4.13,0.426
22.767692,-81.381615,4.13,0.208
23.665844,5.626292,4.13,0.507
3.514549,12.936678,4.14,1.112
3.772104,23.948358,4.14,-0.051
8.627602,5.703782,4.14,0.003
12.114687,-64.61373,4.14,0.353
15.548829,31.359133,4.14,-0.127
15.959794,26.87788,4.14,1.231
21.744092,25.645036,4.14,0.425
22.26616,37.748737,4.14,1.447
7.197739,-0.492764,4.15,-0.005
17.394708,37.145946,4.15,-0.011
23.673469,44.333932,4.15,-0.071
6.068671,23.263341,4.16,0.835
7.485195,31.78455,4.16,0.32
17.439504,-24.175309,4.16,0.283
0.549997,62.931783,4.17,0.13
3.824237,-36.20025,4.17,0.927
22.280565,-7.78329,4.17,0.979
14.214929,-10.273702,4.18,1.323
14.273074,46.088305,4.18,0.087
16.606242,-35.255326,4.18,1.535
22.250544,57.043587,4.18,0.278
22.677594,-27.043617,4.18,-0.105
13.824091,-34.450776,4.19,1.52
18.761035,20.546308,4.19,0.483
5.51307,5.948139,4.2,-0.143
7.94765,-22.880119,4.2,0.718
10.464727,36.707212,4.2,0.908
16.568384,42.437041,4.2,-0.013
22.778216,12.172888,4.2,0.502
22.932472,-32.539628,4.2,0.952
3.484482,59.94033,4.21,0.419
4.422822,22.293874,4.21,0.136
16.766159,82.037262,4.21,0.897
20.493015,62.994105,4.21,0.199
21.440705,-65.366198,4.21,0.494
2.843063,38.318644,4.22,0.343
3.780804,-23.249723,4.22,0.434
7.888378,-48.102934,4.22,-0.13
16.109874,-36.802288,4.22,-0.184
16.450399,-18.456251,4.22,0.217
18.345955,71.337814,4.22,-0.093
18.786242,-4.747867,4.22,1.087
18.870288,-62.187593,4.22,-0.15
18.908412,36.898613,4.22,1.575
20.761043,30.719715,4.22,1.051
21.290265,39.394681,4.22,0.098
23.238711,-6.049003,4.22,1.545
0.334142,-64.874791,4.23,0.576
7.721867,28.88351,4.23,1.118
13.197904,27.878183,4.23,0.572
13.761471,-33.043721,4.23,0.39
14.027443,1.544532,4.23,0.121
16.146162,44.934906,4.23,-0.045
16.718126,-77.517435,4.23,1.06
19.106971,-37.063437,4.23,0.523
21.725127,58.780046,4.23,2.242
21.779891,49.30957,4.23,-0.12
1.145613,86.25709,4.24,1.213
2.449755,-47.70384,4.24,-0.136
2.735375,-13.858696,4.24,-0.122
12.305812,-79.31224,4.24,-0.123
12.562411,41.35748,4.24,0.588
16.523037,-34.704366,4.24,-0.168
17.690243,-12.875307,4.24,0.086
23.264859,-9.087737,4.24,1.107
1.262704,-68.875927,4.25,0.48
4.109735,50.351262,4.25,-0.011
4.594239,10.16079,4.25,0.184
4.611508,41.264808,4.25,1.171
5.15244,-8.754081,4.25,-0.187
8.380588,43.188131,4.25,1.55
12.890607,-40.178872,4.25,0.224
14.458758,75.695993,4.25,1.431
21.75748,61.120806,4.25,0.474
1.158368,47.241792,4.26,0.012
1.756564,9.157736,4.26,0.942
3.331944,-43.069784,4.26,0.711
3.563132,-21.632883,4.26,-0.106
4.267097,-51.486648,4.26,0.312
4.900836,66.342678,4.26,-0.008
8.974784,11.857701,4.26,0.141
17.609121,-38.635308,4.26,1.075
18.025113,21.595782,4.26,0.406
22.063135,64.627971,4.26,0.379
1.049058,7.890135,4.27,0.952
2.749039,10.114146,4.27,0.311
4.258905,8.892357,4.27,-0.054
4.635961,12.510838,4.27,0.122
4.704084,22.956926,4.27,-0.112
13.11518,-49.906246,4.27,-0.182
15.308897,-47.875272,4.27,-0.086
19.386976,-44.799778,4.27,0.35
20.77764,16.124296,4.27,1.042
23.466138,6.378992,4.27,1.062
4.438461,22.813583,4.28,0.263
9.618151,81.326382,4.28,1.488
10.45253,-31.067779,4.28,1.429
17.455909,-29.867033,4.28,0.402
20.223288,56.567722,4.28,0.114
21.370776,-16.834542,4.28,0.888
22.166457,33.178224,4.28,0.471
23.11465,-43.520358,4.28,0.423
3.614551,0.401662,4.29,0.575
5.326257,-13.176788,4.29,-0.235
10.655112,-55.603268,4.29,1.025
11.881813,-33.908124,4.29,-0.1
15.734299,77.794493,4.29,0.038
16.518991,-16.612733,4.29,0.924
