num,name,epoch,a,e,inc,w,omega,m,H,G,info,wiki,wikipic
176,Iduna,59000,3.182231,0.17092893,22.66977,188.55531,200.4915,47.8297102,8.2,0.15,,,
177,Irma,59000,2.7708535,0.23364115,1.38226,39.35559,346.97779,340.3507593,9.6,0.15,,,
178,Belisana,59000,2.4599287,0.04288955,1.89368,211.35727,51.09279,118.5166676,9.4,0.15,,,thumb/a/a6/178Belisana_%28Lightcurve_Inversion%29.png/265px-178Belisana_%28Lightcurve_Inversion%29.png
179,Klytaemnestra,59000,2.9721503,0.11018514,7.81835,103.71706,251.86524,348.0182943,8.1,0.15,,,
180,Garumna,59000,2.7208608,0.16738931,0.86779,176.1796,311.86675,248.9736267,10.2,0.15,,,
181,Eucharis,59000,3.1244887,0.2067907,18.89346,318.92917,143.01986,281.9223428,7.9,0.15,,,
182,Elsa,59000,2.4160751,0.18648222,2.00542,310.84375,107.18391,27.0947082,9.1,0.15,,,thumb/0/04/182Elsa_%28Lightcurve_Inversion%29.png/265px-182Elsa_%28Lightcurve_Inversion%29.png
183,Istria,59000,2.7926811,0.34976915,26.38816,264.08255,141.90405,230.8424327,9.6,0.15,,,thumb/2/2b/183Istria_%28Lightcurve_Inversion%29.png/265px-183Istria_%28Lightcurve_Inversion%29.png
184,Dejopeja,59000,3.1865919,0.0659304,1.14332,210.39398,331.56187,0.9149847,8.4,0.15,,,thumb/a/ac/184Dejopeja_%28Lightcurve_Inversion%29.png/265px-184Dejopeja_%28Lightcurve_Inversion%29.png
185,Eunike,59000,2.7397873,0.12844289,23.2385,223.48598,153.78317,272.6385183,7.7,0.15,,,
186,Celuta,59000,2.3618427,0.15032142,13.18435,315.52963,14.753,295.55015,9.1,0.15,,,
